porB,tbpB,ST
45,3,2021
1042,470,2022
206,499,2023
1277,33,2024
103,98,2025
337,156,2026
90,453,2027
1278,500,2028
1279,33,2029
1280,355,2030
1281,4,2031
1282,110,2032
1132,501,2033
1283,502,2034
1284,135,2035
242,503,2036
1285,328,2037
1286,186,2038
1287,10,2039
1288,107,2040
1289,446,2041
1290,110,2042
130,186,2043
1291,328,2044
1123,74,2045
1292,156,2046
1293,367,2047
1284,75,2048
1294,58,2049
130,504,2050
182,186,2051
1226,29,2052
1295,505,2053
1296,24,2054
1297,4,2055
1298,24,2056
61,506,2057
103,29,2058
1299,26,2059
1300,186,2060
130,21,2061
543,507,2062
516,29,2063
1301,137,2064
1302,470,2065
1042,328,2066
731,33,2067
1303,33,2068
164,75,2069
1304,75,2070
1305,75,2071
516,509,2072
1306,489,2073
206,510,2074
90,108,2075
1307,108,2076
1308,33,2077
1309,27,2078
35,511,2079
488,512,2080
1310,4,2081
1311,156,2082
1132,4,2083
903,448,2084
1312,428,2085
90,508,2086
1313,10,2087
1314,514,2088
1315,156,2089
953,156,2090
1226,156,2091
962,23,2092
240,468,2093
1042,367,2094
1316,4,2095
1317,33,2096
1318,29,2097
182,427,2098
1319,4,2099
922,58,2100
